,gene_names,weighted_max,weighted_sum
579,BEX4,0.090657942,-14.31483078
580,NCKAP1,0.033778887,-16.82812309
581,ITGAL,0.077312715,12.21094131
582,SHE,0.055896062,4.325372696
583,CLIC5,0.059106559,13.22418404
584,TUBB6,0.040137865,-11.97590065
585,NTS,0.058125224,12.39161015
586,RNASE1,0.064395949,-15.78735638
587,IFITM3,0.035741016,-15.25298882
588,NRCAM,0.053075906,-3.757788658
589,MS4A6A,0.063305415,4.857900143
590,TSPAN13,0.040035997,-12.89301491
591,NDN,0.069005877,-10.64832687
592,MAOA,0.089484736,6.878396034
593,POPDC3,0.059038863,-10.39723873
594,OGN,0.057280913,10.25835037
595,VWF,0.059285026,10.86998367
596,GIMAP8,0.053493388,10.24321556
597,C1orf162,0.048137669,9.628507614
598,GPR160,0.046681955,-13.90199089
599,ID3,0.046234015,-14.15539551
600,KLRC1 /// KLRC2,0.08602263,14.79766178
601,ORM1,0.075262152,13.64234829
602,TC2N,0.066898845,12.36432076
603,FAM110C,0.051048156,5.228583336
604,PCDH18,0.055678971,-14.73855305
605,FOXD1,0.045218103,-10.10002804
606,NR4A2,0.042474072,-8.964663506
607,FOXQ1,0.066117279,-0.980921924
608,ERRFI1,0.064204156,-12.62417412
609,SPRR1A,0.063959248,15.03333473
610,NCF1 /// NCF1B /// NCF1C,0.052704025,13.29780388
611,ARHGAP30,0.068543538,0.761527061
612,C10orf58,0.04913215,-15.84231281
613,NANOG,0.065051943,9.495301247
614,TMEM158,0.047518659,-11.47763252
615,GPM6A,0.06960351,10.05871105
616,MYB,0.061488692,4.709108353
617,LDHB,0.038703322,-14.58802414
618,CD44,0.047977824,-9.896339417
619,MT1M,0.047455743,9.798175812
620,CXCL6,0.069084562,12.93583012
621,SLAIN1,0.073395021,5.069379807
622,PLP1,0.0527188,6.840783119
623,CPM,0.062640764,7.376221657
624,PRKAR2B,0.055512935,-11.0951786
625,DNER,0.062358804,8.295728683
626,HMHA1,0.060187876,-13.74781036
627,LAMB3,0.073411092,3.540537596
628,C1QA,0.0640992,9.817495346
629,SGK1,0.042303812,-11.18709755
630,TSPYL5,0.098382831,-6.032895088
631,KCNJ2,0.048096161,-8.043348312
632,PMAIP1,0.031266943,-15.33350182
633,FBLN1,0.103620306,-12.5418787
634,SPINK1,0.053507078,3.170673132
635,PI3,0.046851903,15.64907265
636,THBS1,0.066665068,11.92036819
637,MT1E,0.043608684,-15.45290947
638,TDGF1 /// TDGF3,0.060461476,7.877047539
639,DCBLD2,0.062414687,14.94999886
640,KRT15,0.074590802,9.902308464
641,SAT1,0.052338187,-17.11050415
642,IER3,0.047124662,-14.49214077
643,SAMSN1,0.060897637,-4.861014843
644,SELENBP1,0.079543039,-14.41802025
645,TFF1,0.054477829,2.305174112
646,TNFRSF1B,0.057004858,-5.693676949
647,CDKN3,0.041737091,-14.32443047
648,CNTN3,0.059592154,14.6884203
649,UBE2QL1,0.087508306,8.130458832
