index,gene_names,weighted_max,weighted_sum,abs_sum
1332,ACTG2,0.154045038,-1.284806728,1.284806728
710,FCN1,0.109787427,1.285695076,1.285695076
3132,SERTAD4,0.299970344,-1.286580384,1.286580384
1402,LOC100507192,0.083622754,-1.292287707,1.292287707
3925,SMG1,0.207335636,1.296350002,1.296350002
4109,ADARB1,0.174299277,-1.296560287,1.296560287
26,SEPP1,0.045083202,1.297622681,1.297622681
4453,LMNB2,0.092342161,-1.297944546,1.297944546
1976,VNN1,-0.000347815,1.309717178,1.309717178
2203,PSTPIP2,0.181815945,1.314027935,1.314027935
1830,ADRB2,0.05069194,1.316096783,1.316096783
1929,IFIT2,0.099776343,-1.318621039,1.318621039
1152,PCDH9,0.024226457,-1.32165058,1.32165058
2223,LILRA6 /// LILRB3,0.118564256,1.325802803,1.325802803
4976,FLRT2,0.107898787,-1.330170453,1.330170453
5581,LRRN2,0.068381652,1.333451748,1.333451748
55,DKK1,0.024578914,-1.33489418,1.33489418
1203,C9orf144 /// C9orf144B,0.129240751,-1.338120461,1.338120461
3775,RAB7B,0.044366352,1.343297958,1.343297958
5287,SLAMF1,0.116446614,-1.348871231,1.348871231
4377,ZNF506,0.106862038,-1.351332664,1.351332664
1792,SYNM,0.215004489,1.355604172,1.355604172
3779,C6orf142,0.13983801,1.355809212,1.355809212
735,FOXC1,0.137964331,-1.359838486,1.359838486
1121,L1CAM,0.217049003,-1.367418647,1.367418647
115,GIMAP6,0.090733394,-1.371663809,1.371663809
4432,RFC3,0.243927725,-1.371884346,1.371884346
1319,ENO2,0.066397958,1.375231743,1.375231743
3080,MERTK,0.223200932,-1.378280878,1.378280878
837,ABCG1,0.133968242,1.382439613,1.382439613
2699,C4orf32,0.243428163,-1.385160208,1.385160208
1501,KANK4,0.142559268,1.389816761,1.389816761
986,GNLY,0.138954751,-1.397175312,1.397175312
2311,SLFN5,0.093393669,-1.405799866,1.405799866
1442,MYBL1,0.143312111,1.406178951,1.406178951
5459,SBNO2,0.128660277,-1.408380032,1.408380032
1682,SLIT2,0.180497095,1.411002159,1.411002159
3244,LEPREL4,0.135392711,-1.41263485,1.41263485
3566,FXYD1,0.088539913,-1.417180777,1.417180777
2894,TMEM35,0.072191447,-1.41804409,1.41804409
4329,FCRLA,0.179065347,1.418186903,1.418186903
3347,TSPAN2,0.047596805,1.428187847,1.428187847
103,IGLC7 /// IGLV1-44 /// LOC100290481,0.104749683,-1.432127953,1.432127953
3255,SUZ12P,0.198055416,1.43256551,1.43256551
552,MALL,0.073478565,-1.432709932,1.432709932
674,MYO6,0.091540493,1.44255209,1.44255209
5760,ANTXR2,0.082498424,-1.44370532,1.44370532
3181,GIMAP1,0.130703248,1.450675011,1.450675011
934,TPD52,0.074024469,1.457075119,1.457075119
3251,GABRB2,0.071751785,1.457780838,1.457780838
2853,MAP1A,0.078579351,-1.458609104,1.458609104
2216,VAT1L,0.044239454,1.468020439,1.468020439
1016,FGF7 /// KGFLP1 /// KGFLP2,0.104384758,-1.483524799,1.483524799
963,EDNRB,0.191878386,1.487097502,1.487097502
142,VCAN,0.173261069,1.48871088,1.48871088
152,GIMAP2,0.065226786,1.502118826,1.502118826
9,CCL20,0.123559393,-1.502880335,1.502880335
3353,ASB9,0.053081587,-1.50420925,1.50420925
4410,TACC1,0.085209891,1.511156082,1.511156082
5923,ADORA3,0.248238958,1.512518883,1.512518883
1609,MOSC1,0.040426247,1.516364098,1.516364098
3010,ZBTB10,0.161222503,-1.519705221,1.519705221
532,GAGE12F /// GAGE12G /// GAGE12I /// GAGE5 /// GAGE7,0.068699948,1.51996851,1.51996851
1329,RIPK4,0.126854241,1.520536423,1.520536423
705,HS3ST3A1,0.134681657,1.52510643,1.52510643
3338,PAX6,0.20061627,1.533241749,1.533241749
1184,ITK,0.031701177,1.533768654,1.533768654
4163,C16orf75,0.091073856,-1.536951542,1.536951542
1491,SHROOM3,0.119441859,-1.537432194,1.537432194
1594,PENK,0.269509137,-1.539905071,1.539905071
2952,SNTB1,0.191758938,-1.540467262,1.540467262
5940,C5orf20,0.166137099,-1.554433823,1.554433823
3479,JAKMIP1,0.07694158,-1.562170982,1.562170982
1080,ANGPT2,0.055238731,1.563346863,1.563346863
572,ARHGAP9,0.07294859,-1.566641629,1.566641629
4471,SPRR2G,0.150887497,1.567487955,1.567487955
33,EPCAM,0.06299945,-1.573257923,1.573257923
886,NT5E,0.190675855,1.57461524,1.57461524
2909,MURC,0.095856942,1.576692581,1.576692581
598,GPR160,0.075799927,-1.580252647,1.580252647
4840,KLHL7,0.240535013,-1.582809925,1.582809925
341,NKG7,0.075292215,-1.587855339,1.587855339
2014,CH25H,0.136084966,-1.588878155,1.588878155
4070,NUDT16P1,0.09950649,-1.589616776,1.589616776
5905,RASL12,0.191372655,1.59027338,1.59027338
4859,PIK3C2A,0.166623898,-1.591441154,1.591441154
4984,NEDD1,0.176598325,-1.600774765,1.600774765
4665,HEG1,0.182382435,1.603070259,1.603070259
280,KRT17,0.205157399,1.603138924,1.603138924
2457,TRPS1,0.180883303,1.60548687,1.60548687
2381,LOC644242,0.144060045,1.60813427,1.60813427
4833,AFAP1L2,0.094406843,1.609449387,1.609449387
4532,PIK3C2B,0.128692769,1.61716938,1.61716938
