"Approved.Symbol","Ensembl.ID.supplied.by.Ensembl.","index"
"THRAP3","ENSG00000054118",720
"PHPT1","ENSG00000054148",721
"ENTPD2","ENSG00000054179",722
"LY75","ENSG00000054219",723
"ARID4B","ENSG00000054267",724
"OPN3","ENSG00000054277",725
"SDCCAG8","ENSG00000054282",726
"PTPRN","ENSG00000054356",727
"HHAT","ENSG00000054392",728
"KIF1B","ENSG00000054523",729
"FOXC1","ENSG00000054598",730
"TBC1D22A","ENSG00000054611",731
"SYNE2","ENSG00000054654",732
"PLEKHH1","ENSG00000054690",733
"ATP9A","ENSG00000054793",734
"SPO11","ENSG00000054796",735
"CBLN4","ENSG00000054803",736
"CHRDL2","ENSG00000054938",737
"FAM168A","ENSG00000054965",738
"RELT","ENSG00000054967",739
"GALC","ENSG00000054983",740
"NOP58","ENSG00000055044",741
"SZRD1","ENSG00000055070",742
"KCNH2","ENSG00000055118",743
"CUL1","ENSG00000055130",744
"FAM114A2","ENSG00000055147",745
"CYFIP2","ENSG00000055163",746
"TAB2","ENSG00000055208",747
"GINM1","ENSG00000055211",748
"EIF2AK2","ENSG00000055332",749
"USP36","ENSG00000055483",750
"KMT2C","ENSG00000055609",751
"MCOLN3","ENSG00000055732",752
"CCDC85A","ENSG00000055813",753
"PUM2","ENSG00000055917",754
"MRPL43","ENSG00000055950",755
"ITIH4","ENSG00000055955",756
"ITIH1","ENSG00000055957",757
"HPF1","ENSG00000056050",758
"ZFR","ENSG00000056097",759
"ZNF280C","ENSG00000056277",760
"NPFFR2","ENSG00000056291",761
"PHF21B","ENSG00000056487",762
"TRAF1","ENSG00000056558",763
"RC3H2","ENSG00000056586",764
"IL17RB","ENSG00000056736",765
"TRAF3IP2","ENSG00000056972",766
"GYG2","ENSG00000056998",767
"DCBLD2","ENSG00000057019",768
"SERPINB3","ENSG00000057149",769
"SOAT1","ENSG00000057252",770
"PKP2","ENSG00000057294",771
"MSH4","ENSG00000057468",772
"F7","ENSG00000057593",773
"GDI2","ENSG00000057608",774
"PRDM1","ENSG00000057657",775
"ATG5","ENSG00000057663",776
"TMCC3","ENSG00000057704",777
